Feature,Importance
Q13,1258.0
Q14B,767.0
Q17,762.0
Q14C,752.0
Q14F,732.0
Q14E,724.0
Q14D,712.0
Q14A,666.0
Q10D,482.0
Q16A1,472.0
Q15D1,444.0
Q15B1,429.0
Q15A1,424.0
Q15E1,416.0
Q10C,385.0
Q15C1,377.0
Q12B,362.0
Q11B1,341.0
Q10B,330.0
Q11A1,301.0
Q12C,281.0
Q10A,267.0
Q12A,261.0
Q16B1,44.0
Q16C1,14.0
