Feature,Importance
Q13,1239.0
Q17,733.0
Q14C,662.0
Q14E,634.0
Q14B,622.0
Q14D,594.0
Q14F,542.0
Q14A,537.0
Q15A1,387.0
Q15B1,377.0
Q10D,375.0
Q10B,358.0
Q12B,349.0
Q15C1,339.0
Q15D1,337.0
Q11B1,308.0
Q12C,289.0
Q15E1,276.0
Q16A1,256.0
Q10C,216.0
Q10A,193.0
Q12A,135.0
Q11A1,110.0
Q16B1,48.0
Q16C1,24.0
Q16D1,10.0
