Feature,Importance
Q13,997.0
Q17,739.0
Q14C,675.0
Q14E,636.0
Q14B,609.0
Q14F,562.0
Q14D,549.0
Q14A,538.0
Q10D,479.0
Q15B1,451.0
Q15A1,428.0
Q15D1,402.0
Q15C1,400.0
Q10C,392.0
Q15E1,371.0
Q11B1,331.0
Q16A1,318.0
Q10B,316.0
Q12B,314.0
Q11A1,281.0
Q10A,228.0
Q12A,210.0
Q12C,198.0
Q16B1,14.0
